step=  71,680 | ep=   280 | lvl=easy   | ph=A cbs=1.00 | rew=-2.966 | goals=4.0 | coll=28.4 | pol=-0.0079 | val=0.0973 | ent=1.130 | 161 sps
step=  73,728 | ep=   288 | lvl=easy   | ph=A cbs=1.00 | rew=-2.970 | goals=4.1 | coll=29.1 | pol=-0.0071 | val=0.1469 | ent=0.892 | 161 sps
step=  75,776 | ep=   296 | lvl=easy   | ph=A cbs=1.00 | rew=-2.832 | goals=4.4 | coll=29.3 | pol=-0.0069 | val=0.0321 | ent=1.025 | 161 sps
step=  77,824 | ep=   304 | lvl=easy   | ph=A cbs=1.00 | rew=-2.975 | goals=4.2 | coll=29.9 | pol=-0.0050 | val=0.2073 | ent=0.962 | 161 sps
step=  79,872 | ep=   312 | lvl=easy   | ph=A cbs=1.00 | rew=-2.801 | goals=4.4 | coll=28.3 | pol=-0.0079 | val=0.0316 | ent=0.862 | 161 sps
step=  81,920 | ep=   320 | lvl=easy   | ph=A cbs=1.00 | rew=-2.846 | goals=4.4 | coll=30.3 | pol=-0.0064 | val=0.3711 | ent=0.856 | 161 sps
step=  83,968 | ep=   328 | lvl=easy   | ph=A cbs=1.00 | rew=-2.780 | goals=4.3 | coll=29.2 | pol=-0.0055 | val=0.0855 | ent=0.874 | 161 sps
step=  86,016 | ep=   336 | lvl=easy   | ph=A cbs=1.00 | rew=-2.514 | goals=4.5 | coll=28.4 | pol=-0.0076 | val=0.2614 | ent=0.891 | 161 sps
step=  88,064 | ep=   344 | lvl=easy   | ph=A cbs=1.00 | rew=-2.482 | goals=4.6 | coll=30.0 | pol=-0.0051 | val=0.8501 | ent=1.029 | 161 sps
step=  90,112 | ep=   352 | lvl=easy   | ph=A cbs=1.00 | rew=-2.210 | goals=5.0 | coll=28.0 | pol=-0.0037 | val=0.5096 | ent=0.950 | 161 sps
step=  92,160 | ep=   360 | lvl=easy   | ph=A cbs=1.00 | rew=-2.027 | goals=5.3 | coll=27.7 | pol=-0.0066 | val=0.0679 | ent=0.927 | 161 sps
step=  94,208 | ep=   368 | lvl=easy   | ph=A cbs=1.00 | rew=-2.144 | goals=5.2 | coll=28.5 | pol=-0.0127 | val=0.0573 | ent=0.936 | 161 sps
step=  96,256 | ep=   376 | lvl=easy   | ph=A cbs=1.00 | rew=-2.096 | goals=5.2 | coll=27.2 | pol=-0.0037 | val=0.1579 | ent=1.035 | 161 sps
step=  98,304 | ep=   384 | lvl=easy   | ph=A cbs=1.00 | rew=-1.987 | goals=5.1 | coll=27.2 | pol=-0.0053 | val=0.0792 | ent=0.634 | 161 sps
step= 100,352 | ep=   392 | lvl=easy   | ph=B cbs=1.00 | rew=-1.980 | goals=5.0 | coll=26.9 | pol=-0.0056 | val=0.1144 | ent=0.840 | 161 sps
step= 102,400 | ep=   400 | lvl=easy   | ph=B cbs=0.99 | rew=-1.826 | goals=5.2 | coll=26.4 | pol=-0.0087 | val=0.1088 | ent=1.001 | 161 sps
step= 104,448 | ep=   408 | lvl=easy   | ph=B cbs=0.99 | rew=-1.669 | goals=5.4 | coll=26.4 | pol=-0.0012 | val=0.2994 | ent=0.924 | 161 sps
step= 106,496 | ep=   416 | lvl=easy   | ph=B cbs=0.98 | rew=-1.837 | goals=5.6 | coll=33.5 | pol=-0.0086 | val=0.2783 | ent=0.903 | 161 sps
step= 108,544 | ep=   424 | lvl=easy   | ph=B cbs=0.98 | rew=-1.763 | goals=5.6 | coll=31.8 | pol=-0.0071 | val=0.0544 | ent=0.913 | 161 sps
step= 110,592 | ep=   432 | lvl=easy   | ph=B cbs=0.97 | rew=-1.804 | goals=5.6 | coll=32.9 | pol=-0.0079 | val=0.0396 | ent=0.924 | 161 sps
step= 112,640 | ep=   440 | lvl=easy   | ph=B cbs=0.97 | rew=-1.827 | goals=5.5 | coll=33.2 | pol=-0.0076 | val=0.0663 | ent=0.895 | 161 sps
step= 114,688 | ep=   448 | lvl=easy   | ph=B cbs=0.96 | rew=-1.647 | goals=5.6 | coll=29.0 | pol=-0.0073 | val=0.0672 | ent=1.065 | 161 sps
